2018-07-24 20:51:52 status half-installed libc6:amd64 2.27-3ubuntu1
2018-07-24 20:51:53 status unpacked libc6:amd64 2.27-3ubuntu1
2018-07-24 20:51:53 status unpacked libc6:amd64 2.27-3ubuntu1
2018-07-24 20:51:53 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-07-24 20:51:53 status unpacked libc6:amd64 2.27-3ubuntu1
2018-07-24 20:51:53 status unpacked libc6:amd64 2.27-3ubuntu1
2018-07-24 20:51:53 status half-configured libc6:amd64 2.27-3ubuntu1
2018-07-24 20:51:53 status installed libc6:amd64 2.27-3ubuntu1
2018-07-24 20:51:53 startup archives install
2018-07-24 20:51:53 install perl-base:amd64 <none> 5.26.1-6
2018-07-24 20:51:53 status half-installed perl-base:amd64 5.26.1-6
2018-07-24 20:51:53 status unpacked perl-base:amd64 5.26.1-6
2018-07-24 20:51:53 status unpacked perl-base:amd64 5.26.1-6
2018-07-24 20:51:53 configure perl-base:amd64 5.26.1-6 5.26.1-6
2018-07-24 20:51:53 status unpacked perl-base:amd64 5.26.1-6
2018-07-24 20:51:53 status half-configured perl-base:amd64 5.26.1-6
2018-07-24 20:51:53 status installed perl-base:amd64 5.26.1-6
2018-07-24 20:51:53 startup archives install
2018-07-24 20:51:53 install mawk:amd64 <none> 1.3.3-17ubuntu3
2018-07-24 20:51:53 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:53 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:53 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:53 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-07-24 20:51:53 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:53 status half-configured mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:53 status installed mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:53 startup archives unpack
2018-07-24 20:51:53 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2018-07-24 20:51:53 status half-configured base-files:amd64 10.1ubuntu2
